Book,Genre
Mario Kart,Racing
Mario Kart,Racing
Minecraft,Sandbox
Grand Theft Auto V,Action-Adventure
Assassins Creed,Action-Adventure
Elden Ring,Action
PAYDAY 2,Action
Ark-Survival-Evolved,Survival
The Legend of Zelda,Action-Adventure
Skyrim,Action
Ghost of Tsushima,Action-Adventure
Spider-Man,Action
Minecraft,Sandbox
Subway Surfers,Endless Runner
The Sims,Life Simulation
Roblox,Sandbox
Ark-Survival-Evolved,Survival
Gears of War 3,Action
Marvel-Rivals,Fighting
Halo: Reach,First-Person Shooter
Hell-Let-Loose,Action
Voices-of-the-Void,Survival Horror
Metro 2033,First-Person Shooter
Disco Elysium,RPG
Assassin's Creed Origins,Action-Adventure
God of War,Action-Adventure
Red Dead Redemption 2,Western
The Witcher 3,Action
Life is Strange,Adventure
Halo 3,First-Person Shooter
Batman Arkham City,Action-Adventure
Cyberpunk 2077,RPG
GTA 5,Action
FIFA,Sports
The Legend of Zelda: Breath of the Wild,Action-Adventure
The Last of Us,Action
Minecraft,Sandbox
Super Mario Galaxy,Platformer
The Legend of Zelda: Breath of the Wild,Action
Mario Odyssey,Platformer
Rayman-Origins,Platformer
Human-Fall-Flat,Puzzle
Tetris,Puzzle
Cake Sort,Puzzle
Preguntados,Quiz
Fruit-merge,Puzzle
Shows,Adventure
Free Fire,Battle Royale
Roblox,Sandbox
Injustice 2,Fighting
Township,Simulation
Minecraft,Sandbox
Roblox,Sandbox
Call of Duty,First-Person Shooter
Mario Kart,Racing
Sun-Haven,Adventure
Homicipher,Puzzle
Fifa,Sports
Call of Duty,First-Person Shooter
Resident Evil,Survival Horror
Fallout,RPG
Minecraft,Sandbox
Call of Duty: Black Ops II,First-Person Shooter
Grand Theft Auto V,Action-Adventure
Minecraft,Sandbox
Fifa,Sports
Uncharted,Action-Adventure
Friv,Casual
Warframe,Action
